ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,leads,actions,advertiser,platform,product,region,revenue,date,unit_price,spent
708746,916,103916,30-34,M,15,7350,1,2,1,Tesla,Twitter,Roadster,Iowa,200000,2023-10-09,200000,1.429999948
708749,916,103917,30-34,M,16,17861,2,2,0,Apple,Instagram,MacBook,Wisconsin,0,2021-08-04,1299,1.820000023
708771,916,103920,30-34,M,20,693,0,1,0,Adidas,Instagram,Pharrell Williams,North Carolina,0,2023-08-19,140,0
708815,916,103928,30-34,M,28,4259,1,1,0,Adidas,LinkedIn,Adidas EQT,Colorado,0,2021-10-02,120,1.25
708818,916,103928,30-34,M,28,4133,1,1,1,Amazon,Google Ads,Fire Tablet,Pennsylvania,49,2021-11-16,49,1.289999962
708820,916,103929,30-34,M,29,1915,0,1,1,Tesla,Facebook,Solar Roof,North Carolina,25000,2022-03-24,25000,0
708889,916,103940,30-34,M,15,15615,3,1,0,Coca-Cola,LinkedIn,Vitaminwater,Utah,0,2022-09-25,2,4.769999981
708895,916,103941,30-34,M,16,10951,1,1,1,Google,LinkedIn,Nest Thermostat,Wyoming,249,2023-09-19,249,1.269999981
708953,916,103951,30-34,M,27,2355,1,1,0,Microsoft,Google Ads,Surface Laptop,Arkansas,0,2022-10-26,999,1.5
708958,916,103952,30-34,M,28,9502,3,1,0,Sony,Google Ads,Sony Pictures,Texas,0,2022-10-25,0,3.159999967
708979,916,103955,30-34,M,31,1224,0,1,0,Intel,Twitter,Intel Atom,Oregon,0,2022-03-03,50,0
709023,916,103962,30-34,M,7,735,0,1,0,Adidas,Facebook,Yeezy,Nebraska,0,2020-08-26,220,0
709038,916,103965,30-34,M,16,5117,0,1,0,Amazon,LinkedIn,Ring Doorbell,Wisconsin,0,2022-05-03,99,0
709040,916,103965,30-34,M,16,5120,0,1,0,Adidas,LinkedIn,NMD,Hawaii,0,2020-07-10,130,0
709059,916,103968,30-34,M,20,14669,7,1,1,Microsoft,Twitter,Surface Pro,Ohio,799,2020-02-26,799,10.28000021
709105,916,103976,30-34,M,28,1241,0,1,1,Toyota,Instagram,Toyota Sienna,New Jersey,34560,2020-06-03,34560,0
709115,916,103978,30-34,M,30,2305,1,1,0,IBM,Twitter,IBM Z,Montana,0,2021-06-07,1000,0.569999993
709124,916,103979,30-34,M,31,1024,0,1,1,Adidas,LinkedIn,Pharrell Williams,Massachusetts,140,2023-06-15,140,0
709179,916,103988,35-39,M,15,4627,1,1,0,Apple,Google Ads,HomePod,Alaska,0,2020-05-30,299,1.690000057
709183,916,103989,35-39,M,16,21026,4,2,1,Microsoft,Google Ads,Surface Book,Washington,1499,2022-06-26,1499,4.630000114
709320,916,104012,35-39,M,15,1422,0,1,1,Adidas,Google Ads,Stan Smith,Wisconsin,80,2023-09-12,80,0
709323,916,104012,35-39,M,15,7132,2,1,0,Sony,Facebook,Sony Music,New Jersey,0,2021-08-20,9.99,2.609999895
709326,916,104013,35-39,M,16,12190,2,1,0,Tesla,LinkedIn,Model X,Mississippi,0,2022-04-18,89990,3.049999952
709327,916,104013,35-39,M,16,12193,2,1,1,Amazon,Facebook,AmazonBasics,New Jersey,20,2020-05-01,20,3.059999943
709328,916,104013,35-39,M,16,3332,0,1,1,Adidas,Facebook,Adidas EQT,North Carolina,120,2023-10-05,120,0
709455,916,104034,35-39,M,7,559,0,1,0,Google,Twitter,Nest Thermostat,New Mexico,0,2023-03-18,249,0
709544,916,104049,35-39,M,29,7440,2,1,1,Nike,Facebook,Nike React,New Mexico,120,2020-11-23,120,2.980000019
709614,916,104061,40-44,M,16,19113,4,1,0,Google,Twitter,Chromebook,New Jersey,0,2022-07-12,199,5.5200001
709756,916,104085,40-44,M,16,10976,2,1,1,Ford,Facebook,Ford Bronco,Tennessee,28995,2021-06-29,28995,1.690000057
709761,916,104085,40-44,M,16,2861,0,1,0,Toyota,LinkedIn,Toyota Sienna,Arizona,0,2023-06-04,34560,0
709899,916,104108,40-44,M,15,1398,0,1,1,Ford,Facebook,Ford Fusion,West Virginia,23570,2023-09-16,23570,0
709901,916,104109,40-44,M,16,23817,7,1,1,Apple,Twitter,AirPods,Oklahoma,159,2021-11-16,159,8.470000148
710045,916,104133,45-49,M,16,47224,12,1,0,Ford,Facebook,Ford Expedition,Massachusetts,0,2022-01-03,52940,15.82000017
710088,916,104140,45-49,M,24,2283,1,1,0,Amazon,LinkedIn,Amazon Echo Dot,Alaska,0,2022-04-25,49,1.470000029
